trans,site,trt,yr,hab,tot_transhab
4,Fods Slough,Surface,2015,SS,34.47
4,Fods Slough,Surface,2015,SV,325.11
1,Fods Slough,Surface,2016,SS,26.16
1,Fods Slough,Surface,2016,SV,64.64
2,Fods Slough,Surface,2016,SS,19.26
2,Fods Slough,Surface,2016,SV,83.64
3,Fods Slough,Surface,2016,SS,37.36
3,Fods Slough,Surface,2016,SV,119.26
4,Fods Slough,Surface,2016,SS,234.29
4,Fods Slough,Surface,2016,SV,266.11
1,Gerdink,Tile,2015,EV,76.26
1,Gerdink,Tile,2015,SS,46.79
2,Gerdink,Tile,2015,EV,21.33
2,Gerdink,Tile,2015,SS,49.24
3,Gerdink,Tile,2015,EV,133.92
3,Gerdink,Tile,2015,SS,46.06
4,Gerdink,Tile,2015,EV,39.2
4,Gerdink,Tile,2015,SS,47.96
1,Gerdink,Tile,2016,EV,3.73
1,Gerdink,Tile,2016,SS,20.5
2,Gerdink,Tile,2016,EV,11.72
2,Gerdink,Tile,2016,SS,18.23
3,Gerdink,Tile,2016,EV,33.95
3,Gerdink,Tile,2016,SS,36.22
4,Gerdink,Tile,2016,EV,57.42
4,Gerdink,Tile,2016,SS,97.27
1,Habeger,Tile,2015,EV,239.09
1,Habeger,Tile,2015,SV,171.82
2,Habeger,Tile,2015,EV,81.41
2,Habeger,Tile,2015,SV,53.1
3,Habeger,Tile,2015,EV,63.42
3,Habeger,Tile,2015,SV,52.59
4,Habeger,Tile,2015,EV,212.4
1,Habeger,Tile,2016,EV,79.51
1,Habeger,Tile,2016,SS,749.42
2,Habeger,Tile,2016,EV,63.99
2,Habeger,Tile,2016,SS,30.76
2,Habeger,Tile,2016,SV,33.59
3,Habeger,Tile,2016,EV,28.87
3,Habeger,Tile,2016,SS,321.56
4,Habeger,Tile,2016,EV,72.44
4,Habeger,Tile,2016,SS,159.31
1,Healy Slough,Surface,2015,EV,414.61
1,Healy Slough,Surface,2015,SS,169.43
1,Healy Slough,Surface,2015,SV,195.42
2,Healy Slough,Surface,2015,EV,193.41
2,Healy Slough,Surface,2015,SS,220.05
2,Healy Slough,Surface,2015,SV,355.9
3,Healy Slough,Surface,2015,EV,126.44
3,Healy Slough,Surface,2015,SS,95
3,Healy Slough,Surface,2015,SV,260.98
4,Healy Slough,Surface,2015,EV,354.12
4,Healy Slough,Surface,2015,SS,72.66
4,Healy Slough,Surface,2015,SV,130.24
1,Healy Slough,Surface,2016,EV,53.49
1,Healy Slough,Surface,2016,SV,25.11
2,Healy Slough,Surface,2016,EV,155.41
2,Healy Slough,Surface,2016,SV,35.42
3,Healy Slough,Surface,2016,EV,0.26
3,Healy Slough,Surface,2016,SV,19.61
4,Healy Slough,Surface,2016,EV,5.55
4,Healy Slough,Surface,2016,SV,31.5
1,Lost Lake,Control,2015,EV,93.35
1,Lost Lake,Control,2015,SV,231.54
2,Lost Lake,Control,2015,EV,169.92
2,Lost Lake,Control,2015,SV,133.01
3,Lost Lake,Control,2015,EV,530.25
3,Lost Lake,Control,2015,SV,274.97
4,Lost Lake,Control,2015,EV,253.88
4,Lost Lake,Control,2015,SV,479.09
1,Lost Lake,Control,2016,EV,31.67
1,Lost Lake,Control,2016,SV,29.38
2,Lost Lake,Control,2016,EV,58.51
2,Lost Lake,Control,2016,SV,56.38
3,Lost Lake,Control,2016,EV,53.05
3,Lost Lake,Control,2016,SV,120.46
4,Lost Lake,Control,2016,EV,86.28
1,Petri II,Surface,2015,EV,146.74
2,Petri II,Surface,2015,EV,26.39
2,Petri II,Surface,2015,SV,406.37
3,Petri II,Surface,2015,EV,27.49
3,Petri II,Surface,2015,SV,229.12
4,Petri II,Surface,2015,EV,89.3
4,Petri II,Surface,2015,SV,148.1
1,Petri II,Surface,2016,EV,61.78
2,Petri II,Surface,2016,EV,8.19
3,Petri II,Surface,2016,EV,242.94
4,Petri II,Surface,2016,EV,87.3
1,Pettigrew,Control,2015,EV,11.27
2,Pettigrew,Control,2015,EV,121.67
3,Pettigrew,Control,2015,EV,311.11
3,Pettigrew,Control,2015,SS,108.24
4,Pettigrew,Control,2015,EV,102.45
4,Pettigrew,Control,2015,SS,5.09
1,Pettigrew,Control,2016,EV,130.52
2,Pettigrew,Control,2016,EV,117.31
3,Pettigrew,Control,2016,EV,222.72
4,Pettigrew,Control,2016,EV,286.47
1,Pittenger,Control,2015,EV,6.78
2,Pittenger,Control,2015,EV,13.73
2,Pittenger,Control,2015,SV,37.73
3,Pittenger,Control,2015,EV,53.37
3,Pittenger,Control,2015,SV,40.75
4,Pittenger,Control,2015,EV,25.71
4,Pittenger,Control,2015,SV,56.39
1,Pittenger,Control,2016,EV,8.22
1,Pittenger,Control,2016,SS,19.67
1,Pittenger,Control,2016,SV,19.28
2,Pittenger,Control,2016,EV,1.95
2,Pittenger,Control,2016,SS,2
2,Pittenger,Control,2016,SV,17.61
3,Pittenger,Control,2016,EV,2.89
3,Pittenger,Control,2016,SS,2.04
3,Pittenger,Control,2016,SV,6.77
4,Pittenger,Control,2016,EV,31.47
4,Pittenger,Control,2016,SS,3.57
4,Pittenger,Control,2016,SV,16.22
